link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,,Cost (RS),cost,liked
https://www.zomato.com/pune/kabana-conrad-pune-bund-garden,"Kabana - Conrad Pune
                                    ",Lounge,"Conrad Pune, Bund Garden Road",4,(95 Reviews),,,"Italian,Continental,",, 3000,Rs. 3000,"Pizza, Fish"
https://www.zomato.com/pune/masu-conrad-pune-bund-garden,"Masu - Conrad Pune
                                    ",Bar,"Conrad Pune, Bund Garden Road",3.8,(79 Reviews),,,"Asian,",, 3000,Rs. 3000,Cocktails
https://www.zomato.com/pune/level-12-doubletree-by-hilton-hotel-chinchwad,"Level 12 - DoubleTree By Hilton Hotel
                                    ","Lounge,Fine Dining",DoubleTree By Hilton Hotel,4.2,(336 Reviews),,,"Bar Food,Mughlai,North Indian,",, 3000,Rs. 3000,"Biryani, Butter Chicken, Kulfi, Amritsari Kulcha, Chaat, Veg Platter, Mocktails"
https://www.zomato.com/pune/kitsch-the-o-hotel-koregaon-park,"Kitsch - The O Hotel
                                    ",Fine Dining,"The O Hotel, Koregaon Park",3.9,(227 Reviews),,,"North Indian,European,Italian,",, 2900,Rs. 2900,"Salad, Pasta, Pizza, Cocktails, Aloo Tikki, Rasmalai, Cheesecake"
https://www.zomato.com/pune/roof-top-bar-sheraton-grand-bund-garden,"Roof Top Bar - Sheraton Grand
                                    ",Casual Dining,Bund Garden Road,3.4,(21 Reviews),,,"Kebab,Seafood,North Indian,",, 2900,Rs. 2900,
https://www.zomato.com/pune/connexions-lounge-bar-ramada-plaza-hinjawadi,"Connexions Lounge & Bar - Ramada Plaza
                                    ","Lounge,Bar","Ramada Plaza, Hinjewadi",3.4,(19 Reviews),,,"Fast Food,Finger Food,",, 2900,Rs. 2900,
https://www.zomato.com/pune/asian-harbour-vivanta-pune-hinjawadi,"Asian Harbour - Vivanta Pune
                                    ",Casual Dining,"Vivanta Pune, Hinjewadi",3.6,(23 Reviews),,,"Asian,",, 2700,Rs. 2700,
https://www.zomato.com/pune/oak-lounge-marriott-suites-pune-mundhwa,"Oak Lounge - Marriott Suites Pune
                                    ",Lounge,Marriott Suites Pune,4.2,(845 Reviews),,,"Finger Food,",, 2700,Rs. 2700,"Cocktails, Pizza, Wine"
https://www.zomato.com/thecafe,"The Cafè - Hyatt Regency Pune
                                    ",Fine Dining,"The Hyatt Regency, Nagar Road",4.3,(675 Reviews),,,"Continental,Asian,North Indian,",, 2600,Rs. 2600,"Salad, Sushi, Fish, Biryani, Noodle, Chaat, Panipuri"
https://www.zomato.com/pune/eighty-eight-hyatt-pune-kalyani-nagar,"Eighty Eight - Hyatt Pune
                                    ",Fine Dining,"Hyatt Pune, Nagar Road",3.8,(310 Reviews),,,"Healthy Food,Italian,North Indian,Continental,",, 2600,Rs. 2600,"Pizza, Pasta, Salad, Breakfast Buffet, Fish, Tea, Risotto"
https://www.zomato.com/pune/easy-blue-diamond-koregaon-park,"Easy - Blue Diamond
                                    ",Lounge,"Blue Diamond, Koregaon Park",3.5,(38 Reviews),,,"Finger Food,Continental,",, 2600,Rs. 2600,
https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,"Paasha - JW Marriott Pune
                                    ",Fine Dining,"JW Marriott Pune, Senapati Bapat Road",4.8,"(3,319 Reviews)",,,"Biryani,Kebab,North Indian,",, 2500,Rs. 2500,"Cocktails, Mocktails, Biryani, Dal Makhani, Wine, Paneer Tikka, Murgh Peshawari"
https://www.zomato.com/pune/evviva-sky-lounge-crowne-plaza-pune-city-centre-bund-garden,"Evviva Sky Lounge - Crowne Plaza Pune City Centre
                                    ",Lounge,"Crowne Plaza Pune City Centre, Bund Garden Road",4.3,(744 Reviews),,,"Mexican,Kebab,Bar Food,",, 2500,Rs. 2500,"Cocktails, Paneer Tikka, Nachos, Paratha, Mojito, Salad, Murgh Peshawari"
https://www.zomato.com/pune/mosaic-crowne-plaza-pune-city-centre-bund-garden,"Mosaic - Crowne Plaza Pune City Centre
                                    ",Casual Dining,"Crowne Plaza Pune City Centre, Bund Garden Road",4.1,(294 Reviews),,,"Fast Food,North Indian,",, 2500,Rs. 2500,"Roti, Salad, Chai, Dahi Vada, Coffee, Paratha, Dal Bati"
https://www.zomato.com/pune/ukiyo-the-ritz-carlton-yerawada,"Ukiyo: The Ritz-Carlton
                                    ",Fine Dining,"Ritz Carlton, Yerwada",3.9,(21 Reviews),,,"Asian,Japanese,",, 2500,Rs. 2500,
https://www.zomato.com/pune/mi-a-mi-jw-marriott-pune-senapati-bapat-road,"Mi-a-Mi - JW Marriott Pune
                                    ",Club,"JW Marriott Pune, Senapati Bapat Road",4.4,"(2,074 Reviews)",,,"Finger Food,",, 2500,Rs. 2500,"Cocktails, Mocktails, Beer, Pizza, Chicken Wings, Fire Shots, Fries"
https://www.zomato.com/pune/tgi-fridays-magarpatta,"TGI Fridays
                                    ","Bar,Casual Dining","Seasons Mall, Magarpatta ",4.1,"(1,360 Reviews)",,,"Desserts,Salad,Italian,Mexican,American,",, 2500,Rs. 2500,"Cocktails, Burgers, Nachos, Pizza, Pasta, Beer, Chicken Wings"
https://www.zomato.com/pune/chingari-sheraton-grand-bund-garden,"Chingari - Sheraton Grand
                                    ",Fine Dining,"Sheraton Grand, Bund Garden Road",4.2,(559 Reviews),,,"Mughlai,North Indian,",, 2500,Rs. 2500,"Chicken Dum Biryani, Butter Chicken, Galauti Kebab, Dal Makhani, Dal Tikki, Chicken Kebab, Cocktails"
https://www.zomato.com/pune/the-house-of-medici-the-westin-mundhwa,"The House Of Medici - The Westin
                                    ",Lounge,"The Westin, Mundhwa",3.9,(284 Reviews),,,"Continental,Asian,",, 2500,Rs. 2500,"Cocktails, Onion Rings, Risotto, Beer"
https://www.zomato.com/pune/whispering-bamboo-blue-diamond-koregaon-park,"Whispering Bamboo - Blue Diamond
                                    ",Fine Dining,"Blue Diamond, Koregaon Park",4.3,(244 Reviews),,,"Asian,Chinese,",, 2500,Rs. 2500,"Noodle, Lamb, Dumplings, Sweet Corn Chicken Soup, Clear Soup, Kimchi, Golden Fried Prawns"
https://www.zomato.com/pune/euriska-mundhwa,"Euriska
                                    ","Lounge,Casual Dining",Mundhwa,4.2,"(1,088 Reviews)",,,"Salad,Greek,Mediterranean,Italian,Finger Food,",, 2500,Rs. 2500,"Cocktails, Salad, Pizza, Mocktails, Baklava, Pasta, Tiramisu"
https://www.zomato.com/pune/mystic-masala-blue-diamond-koregaon-park,"Mystic Masala - Blue Diamond
                                    ",Fine Dining,"Blue Diamond, Koregaon Park",4.1,(168 Reviews),,,"Maharashtrian,Mughlai,North Indian,",, 2500,Rs. 2500,"Mutton Sukha, Fish, Stuffed Mushroom, Salad, Lassi, Rolls, Sol Kadhi"
https://www.zomato.com/pune/bar-101-jw-marriott-pune-senapati-bapat-road,"Bar 101 - JW Marriott Pune
                                    ",Bar,"JW Marriott Pune, Senapati Bapat Road",3.9,(56 Reviews),,,"Finger Food,",, 2500,Rs. 2500,
https://www.zomato.com/coffeetococktailsbar,"Coffee to Cocktails Bar - Hyatt Place
                                    ",Fine Dining,"Hyatt Place, Hinjewadi  ",3.6,(30 Reviews),,,"North Indian,",, 2500,Rs. 2500,
https://www.zomato.com/pune/villa-bistro-lonavala,"Villa Bistro
                                    ","Casual Dining,Bar",Lonavala,3.8,(49 Reviews),,,"Chinese,North Indian,Beverages,Finger Food,",, 2500,Rs. 2500,
https://www.zomato.com/pune/skye-lounge-bar-radisson-blu-hotel-kharadi,"Skye Lounge Bar - Radisson Blu Hotel
                                    ",Bar,"Radisson Blu Hotel, Kharadi",3.1,(35 Reviews),,,"Continental,Finger Food,",, 2500,Rs. 2500,
https://www.zomato.com/pune/zen-bar-lavasa,"Zen Bar
                                    ",Bar,"Hotel Mercure, Lavasa",0,,,,"Finger Food,",, 2400,Rs. 2400,
https://www.zomato.com/pune/payatha-ethnic-foothill-restaurant-hadapsar,"Payatha - Ethnic Foothill Restaurant
                                    ",Casual Dining,"Fort Jadhavgadh, Hadapsar",3.4,(88 Reviews),,,"North Indian,Maharashtrian,",, 2400,Rs. 2400,"Rabri, Fish, Malpua, Pasta"
https://www.zomato.com/pune/boteco-restaurante-brasileiro-koregaon-park,"Boteco - Restaurante Brasileiro
                                    ","Casual Dining,Bar",Koregaon Park,4.8,-764,4.1,-496,"South American,Steak,Brazilian,",, 2300,Rs. 2300,"Cocktails, Steak, Profiterole, Pork Momo, Lamb, Churros, Salad"
https://www.zomato.com/pune/independence-brewing-company-mundhwa,"Independence Brewing Company
                                    ","Bar,Casual Dining",Mundhwa,4.6,"(2,505 Reviews)",,,"Fast Food,Malwani,North Indian,Continental,",, 2300,Rs. 2300,"Beer, Nachos, Mocktails, Beef Burger, Corn Chaat, Chocolate Mousse, Haryali Paneer Tikka"
https://www.zomato.com/pune/buzz-vivanta-pune-hinjawadi,"Buzz - Vivanta Pune
                                    ",Casual Dining,"Vivanta Pune, Hinjewadi",4.3,(456 Reviews),,,"Beverages,Fast Food,Mughlai,Continental,Italian,Healthy Food,North Indian,",, 2300,Rs. 2300,"Salad, Pizza, Mocktails, Pasta, Noodle, Chicken Grill, Fish"
https://www.zomato.com/pune/chapter-seven-skybar-kitchen-wakad,"Chapter Seven Skybar & Kitchen
                                    ","Bar,Casual Dining",Wakad,4,-402,3.2,-33,"Chinese,North Indian,Italian,Bar Food,",, 2300,Rs. 2300,"Mocktails, Cocktails, Brownie, Peri Peri Chicken, Pepper Chicken, Naan, Paneer Peri Peri"
https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road,"Spice Kitchen - JW Marriott Pune
                                    ",Fine Dining,"JW Marriott Pune, Senapati Bapat Road",4.5,"(1,757 Reviews)",,,"European,South Indian,North Indian,Asian,Italian,",, 2200,Rs. 2200,"Salad, Pizza, Waffles, Dal Makhani, Noodle, Pasta, Breakfast Buffet"
https://www.zomato.com/pune/1000-oaks-east-street,"1000 Oaks
                                    ","Casual Dining,Bar",East Street,4.4,"-1,902",3.9,-60,"Bar Food,Seafood,Mughlai,North Indian,",, 2200,Rs. 2200,"Cocktails, Tandoori Mushrooms, Dal Makhani, Chicken Biryani, Long Island Iced Tea, Mocktails, Naan"
https://www.zomato.com/pune/cuba-libre-viman-nagar,"Cuba Libre
                                    ","Bar,Casual Dining","Phoenix Market City, Viman Nagar",4,(951 Reviews),,,"Beverages,North Indian,Italian,Continental,Finger Food,",, 2200,Rs. 2200,"Cocktails, Fish, Pizza, Nachos, Chicken Wings, Fries, Stuffed Chicken"
https://www.zomato.com/pune/the-great-kabab-factory-radisson-blu-hotel-kharadi,"The Great Kabab Factory - Radisson Blu Hotel
                                    ","Fine Dining,Bar","Radisson Blu Hotel, Kharadi",4.2,(415 Reviews),,,"North Indian,Mughlai,",, 2200,Rs. 2200,"Galauti Kebab, Biryani, Kulfi, Paan Ice Cream, Gulab Jamun, Mocktails, Phirni"
https://www.zomato.com/pune/felix-bar-ramada-plaza-hinjawadi,"Felix Bar - Ramada Plaza
                                    ",Lounge,"Ramada Plaza, Hinjewadi",3.3,(26 Reviews),,,"Finger Food,",, 2200,Rs. 2200,
https://www.zomato.com/pune/blinque-parc-estique-viman-nagar,"Blinque - Parc Estique
                                    ",Bar,"Parc Estique, Viman Nagar",3.2,(36 Reviews),,,"Finger Food,",, 2200,Rs. 2200,
https://www.zomato.com/pune/mix-hotel-royal-orchid-central-kalyani-nagar,"Mix - Hotel Royal Orchid Central
                                    ",Lounge,Hotel Royal Orchid Central Kalyani Nagar,3.4,(15 Reviews),,,"North Indian,Continental,Finger Food,",, 2200,Rs. 2200,
https://www.zomato.com/pune/savya-rasa-koregaon-park,"Savya Rasa
                                    ","Fine Dining,Bar",Koregaon Park,4.9,"-1,245",4.1,-223,"Chettinad,Kerala,Mangalorean,South Indian,",, 2100,Rs. 2100,"Appam, Neer Dosa, Cocktails, Fish, Vegetable Stew, Coffee, Paratha"
https://www.zomato.com/gallerycafepune,"24/7 Gallery Café - Hyatt Place
                                    ","Fine Dining,Bar","Hyatt Place, Hinjewadi  ",3.9,(322 Reviews),,,"Desserts,Continental,Chinese,North Indian,",, 2100,Rs. 2100,"Salad, Chaat, Fish, Chicken Tikka, Lunch Buffet, Dal Makhani, Brownie"
https://www.zomato.com/pune/momo-2go-courtyard-by-marriott-pune-hinjewadi-hinjawadi,"MoMo 2Go - Courtyard By Marriott Pune Hinjewadi
                                    ",Casual Dining,"Courtyard By Marriott, Hinjewadi",3.9,(118 Reviews),,,"Beverages,Desserts,North Indian,Thai,Fast Food,Maharashtrian,",, 2100,Rs. 2100,"Salad, Fish, Brownie Chocolate, Pizza, Noodle, Momos, Pasta"
https://www.zomato.com/pune/senses-marriott-suites-pune-mundhwa,"Senses - Marriott Suites Pune
                                    ","Fine Dining,Bar",Marriott Suites Pune,4.4,(713 Reviews),,,"Desserts,Italian,Fast Food,Salad,North Indian,Asian,Continental,",, 2100,Rs. 2100,"Salad, Chicken Biryani, Fish, Pasta, Gulab Jamun, Lunch Buffet, Mocktails"
https://www.zomato.com/pune/cafe-24-lonavala,"Cafe 24
                                    ","Fine Dining,Bar",Della Adventure Resort,4.4,(885 Reviews),,,"Asian,North Indian,Italian,European,Continental,",, 2100,Rs. 2100,"Biryani, Pizza, Mocktails, Coffee, Pasta, Cocktails, Salad"
https://www.zomato.com/pune/puran-da-dhaba-pride-hotel-shivaji-nagar,"Puran Da Dhaba - Pride Hotel
                                    ",Casual Dining,The Pride Hotel Shivaji Nagar,3.9,(234 Reviews),,,"North Indian,",, 2100,Rs. 2100,"Makke Ki Roti, Sarso Da Saag, Balushahi, Chaat, Rabri, Aloo Tikki, Jalebi"
https://www.zomato.com/pune/xtasy-lounge-bar-shivaji-nagar,"Xtasy Lounge Bar
                                    ","Lounge,Casual Dining",The Pride Hotel Shivaji Nagar,3.4,(31 Reviews),,,"North Indian,Continental,",, 2100,Rs. 2100,
https://www.zomato.com/pune/amnesia-old-mumbai-pune-highway,"Amnesia
                                    ","Casual Dining,Bar",Hotel Orritel Convention & Wedding Resort,2.9,(4 Reviews),,,"Finger Food,North Indian,",, 2100,Rs. 2100,
https://www.zomato.com/pune/little-italy-kondhwa,"Little Italy
                                    ",Casual Dining,Kondhwa,4.2,-687,4.2,-756,"Beverages,Salad,Pizza,Mexican,Italian,",, 2000,Rs. 2000,"Pizza, Nachos, Chocolate Bomb, Ravioli, Lasagne, Pasta Barbaresca, Spaghetti"
https://www.zomato.com/pune/effingut-2-baner,"Effingut
                                    ",Pub,Baner,4.7,"-2,894",4.5,-649,"Asian,Italian,Mughlai,North Indian,Continental,",, 2000,Rs. 2000,"Apple Cider, Craft Beer, Nachos, Cocktails, Buffalo Wings, Hefeweizen, Brownie Chocolate"
https://www.zomato.com/pune/spice-factory-kharadi,"Spice Factory
                                    ","Casual Dining,Bar",Kharadi,4.2,"-1,675",3,"-2,868","European,North Indian,Chinese,",, 2000,Rs. 2000,"Cocktails, Brownie, Mocktails, Biryani, Dal Makhani, Tandoori Chicken, Paneer Chatpata Tikka"
https://www.zomato.com/pune/little-italy-kondhwa,"Little Italy
                                    ",Casual Dining,Kondhwa,4.2,-687,4.2,-756,"Beverages,Salad,Pizza,Mexican,Italian,",, 2000,Rs. 2000,"Pizza, Nachos, Chocolate Bomb, Ravioli, Lasagne, Pasta Barbaresca, Spaghetti"
https://www.zomato.com/pune/little-italy-bund-garden,"Little Italy
                                    ",Casual Dining,Bund Garden Road,4.5,"-1,126",3.9,-876,"Beverages,Salad,Pizza,Mexican,Italian,",, 2000,Rs. 2000,"Pasta, Pizza, Nachos, Salad, Chocolate Bomb, Mushroom Soup, Tiramisu"
https://www.zomato.com/pune/little-italy-chinchwad,"Little Italy
                                    ",Casual Dining,Chinchwad,4.2,-640,4,-640,"Beverages,Mexican,Italian,",, 2000,Rs. 2000,"Pasta, Pizza, Nachos, Salad, Brownie, Tiramisu, Mocktails"
https://www.zomato.com/pune/little-italy-shivaji-nagar,"Little Italy
                                    ","Casual Dining,Bar",Shivaji Nagar,4.5,"-2,698",4.5,-847,"Beverages,Mexican,Italian,",, 1500,Rs. 1500,"Pasta, Pizza, Nachos, Tiramisu, Lasagne, Salad, Chocolate Bomb"
https://www.zomato.com/pune/little-italy-kharadi,"Little Italy
                                    ",,Kharadi,3.4,(72 Reviews),,,"Mexican,Italian,",, 200,Rs. 200,
https://www.zomato.com/pune/shisha-jazz-cafe-mundhwa,"Shisha Jazz Cafe
                                    ","Lounge,Casual Dining","ABC Farms,Mundhwa",4.4,"-2,843",3.9,-30,"Continental,North Indian,Iranian,",, 2000,Rs. 2000,"Beer, Chicken Lasagne, Cocktails, Butter Chicken, Nachos, Veg Lasagna, Chaat"
https://www.zomato.com/pune/fly-high-hinjawadi,"Fly High
                                    ",Bar,Hinjawadi,4.2,"-1,026",3.6,-492,"Thai,Seafood,North Indian,Chinese,Italian,Continental,",, 2000,Rs. 2000,"Fish, Peri Peri Chicken, Chicken Nachos, Cocktails, Biryani, Long Island Iced Tea, Mocktails"
https://www.zomato.com/pune/the-daily-all-day-1-koregaon-park,"The Daily All Day
                                    ","Casual Dining,Bar",Koregaon Park,4.5,-898,4.4,-341,"Italian,Continental,Asian,European,",, 2000,Rs. 2000,"Cocktails, Drunken Prawn, Mocktails, Vanilla Ice Cream, Salad, Panna Cotta, Beer"
https://www.zomato.com/pune/latitude-blue-diamond-koregaon-park,"Latitude - Blue Diamond
                                    ",Fine Dining,"Blue Diamond, Koregaon Park",4.3,(753 Reviews),,,"Salad,South Indian,European,Italian,Mediterranean,North Indian,",, 2000,Rs. 2000,"Pizza, Biryani, Pasta, Fish, Salad, Keema Pav, Tea"
https://www.zomato.com/pune/marmalade-aundh,"Marmalade
                                    ",Casual Dining,Aundh,3.7,(23 Reviews),,,"Beverages,Desserts,Italian,",, 2000,Rs. 2000,
https://www.zomato.com/pune/cafe-1730-kharadi,"Cafe 1730
                                    ","Bar,Casual Dining","City Hub @ WTC, Kharadi",4.5,"-1,705",3.8,-444,"North Indian,Goan,Continental,Italian,",, 2000,Rs. 2000,"Pasta, Pizza, Butter Chicken, Lasagne, Chicken Steak, Nachos, Salad"
https://www.zomato.com/pune/retox-viman-nagar,"Retox
                                    ","Pub,Casual Dining",Viman Nagar,4.4,"(1,599 Reviews)",,,"North Indian,European,Asian,",, 2000,Rs. 2000,"Cocktails, Fries, Long Island Iced Tea, Burgers, Nachos, Mocktails, Dal Kichadi"
https://www.zomato.com/pune/the-k-factory-baner,"The K Factory
                                    ","Casual Dining,Lounge",Baner,4.6,"-3,742",3.9,-252,"Beverages,Biryani,Charcoal Chicken,Salad,Desserts,North Indian,Italian,Continental,",, 2000,Rs. 2000,"Pasta, Salad, Cheesecake, Cocktails, Pizza, Peri Peri Chicken, Caramel Panna Cotta"
https://www.zomato.com/pune/three-kitchens-restaurant-and-bar-the-ritz-carlton-yerawada,"Three Kitchens Restaurant And Bar: The Ritz-Carlton
                                    ",Casual Dining,"Ritz Carlton, Yerwada",4,(54 Reviews),,,"European,Asian,North Indian,",, 2000,Rs. 2000,
https://www.zomato.com/pune/daily-treats-the-westin-mundhwa,"Daily Treats - The Westin
                                    ","Café,Dessert Parlor","The Westin, Mundhwa",4,(198 Reviews),,,"Beverages,Continental,Cafe,",, 2000,Rs. 2000,"Coffee, Cappuccino, Dal Tadka, Tea, Fruit Pastry, Burgers, Hot Chocolate"
https://www.zomato.com/pune/the-1st-brewhouse-the-corinthians-nibm-road,"The 1st Brewhouse - The Corinthians
                                    ","Microbrewery,Pub","The Corinthians, Kondhawa",4.4,"(2,240 Reviews)",,,"North Indian,Finger Food,",, 2000,Rs. 2000,"Apple Cider, Chilli Chicken, Cocktails, Pasta, Craft Beer, Mocktails, Masala Peanuts"
https://www.zomato.com/pune/café-delhi-heights-viman-nagar,"Café Delhi Heights
                                    ","Casual Dining,Café","Phoenix Market City, Viman Nagar",4.3,-587,3.5,-81,"Cafe,Continental,Modern Indian,Asian,",, 2000,Rs. 2000,"Galauti Kebab, Burgers, Pizza, Coffee, Salad, Pasta, Dal Makhani"
https://www.zomato.com/pune/zeta-hyatt-regency-pune-viman-nagar,"Zeta - Hyatt Regency Pune
                                    ",Casual Dining,"The Hyatt Regency, Nagar Road",4.4,(288 Reviews),,,"Italian,Continental,European,",, 2000,Rs. 2000,"Salad, Tiramisu, Chocolate Mousse, Cauliflower Soup, Burgers, Ravioli, Bannoffee Pie"
https://www.zomato.com/pune/classic-rock-cafe-comedy-kalyani-nagar,"Classic Rock Cafe & Comedy
                                    ","Bar,Casual Dining",Kalyani Nagar,4.5,"-2,933",3.9,-363,"North Indian,Asian,Italian,Continental,Bar Food,",, 2000,Rs. 2000,"Coffee, Cocktails, Beer, Mocktails, Pasta, Nachos, Chicken Biryani"
https://www.zomato.com/pune/punjab-grill-viman-nagar,"Punjab Grill
                                    ",Casual Dining,"Phoenix Market City, Viman Nagar",4.2,"-1,742",3.7,-703,"Mughlai,North Indian,",, 2000,Rs. 2000,"Dal Makhani, Paan Shot, Butter Chicken, Chicken Biryani, Chicken Tikka, Murgh Lababdar, Paneer Lababdar"
https://www.zomato.com/pune/sorriso-marriott-suites-pune-mundhwa,"Sorriso- Marriott Suites Pune
                                    ",Casual Dining,Marriott Suites Pune,4.2,(241 Reviews),,,"Italian,",, 2000,Rs. 2000,"Pasta, Tiramisu, Wine, Salad, Pork Burger, Thin Crust Pizza, Cocktails"
https://www.zomato.com/pune/sunny-da-dhaba-old-mumbai-pune-highway,"Sunny Da Dhaba
                                    ",Dhaba,Old Mumbai-Pune Highway,3.9,(833 Reviews),,,"Chinese,Mughlai,North Indian,",, 2000,Rs. 2000,"Butter Chicken, Lassi, Dal Makhani, Rumali Roti, Tandoori Chicken, Lamb, Chicken Lamba"
https://www.zomato.com/pune/ground-up-1-viman-nagar,"Ground Up
                                    ",Casual Dining,Viman Nagar,4.1,(83 Reviews),,,"Mexican,Continental,Asian,",, 2000,Rs. 2000,"Sandwich, Chocolate Tart, Banh Mi, Noodle, Tomatillo Salsa"
https://www.zomato.com/pune/the-eatery-four-points-by-sheraton-1-viman-nagar,"The Eatery - Four Points by Sheraton
                                    ","Casual Dining,Bar","Four Points by Sheraton, Viman Nagar",4,-258,3.9,-41,"Italian,Asian,South Indian,North Indian,",, 2000,Rs. 2000,"Biryani, Breakfast Buffet, Fish, Sandwich, Croissant, Waffles, Tea"
https://www.zomato.com/pune/the-fishbowl-hyatt-pune-kalyani-nagar,"The Fishbowl - Hyatt Pune
                                    ",Lounge,"Hyatt Pune, Nagar Road",4,(154 Reviews),,,"Finger Food,",, 2000,Rs. 2000,"Cocktails, Mutton Seekh Kebab, Pizza, Fish Bowl"
https://www.zomato.com/pune/arirang-restaurant-kharadi,"Arirang Restaurant
                                    ",Casual Dining,Kharadi,3.2,(4 Reviews),,,"Korean,",, 2000,Rs. 2000,
https://www.zomato.com/pune/1-lounge-and-restaurant-mundhwa,"1 Lounge and Restaurant
                                    ",Lounge,Mundhwa,4,-848,3.9,-67,"Mughlai,North Indian,European,Finger Food,",, 2000,Rs. 2000,"Cocktails, Mocktails, Mashed Potato, Thin Crust Pizza, Cheese Balls, Pasta, Fish Tikka"
https://www.zomato.com/pune/plunge-all-day-kitchen-and-bar-koregaon-park,"Plunge - All Day Kitchen and Bar
                                    ","Bar,Casual Dining",Koregaon Park,4.2,(347 Reviews),,,"Chinese,North Indian,Continental,",, 2000,Rs. 2000,"Cocktails, Pizza, White Sauce Pasta, Mocktails, Naan, Lasagne, Jalapeno Nuggets"
https://www.zomato.com/pune/the-cult-house-magarpatta,"The Cult - House
                                    ","Lounge,Casual Dining",Magarpatta,3.6,(120 Reviews),,,"Bar Food,Asian,Finger Food,Sushi,Continental,Modern Indian,",, 2000,Rs. 2000,Dumplings
https://www.zomato.com/pune/carmine-radisson-blu-hotel-kharadi,"Carmine  Radisson Blu Hotel
                                    ",Casual Dining,"Radisson Blu Hotel, Kharadi",3.8,(161 Reviews),,,"Mughlai,Continental,North Indian,",, 2000,Rs. 2000,"Pasta, Salad, Misal, Healthy Breakfast, Noodle, Smokey Chicken"
https://www.zomato.com/pune/soak-novotel-viman-nagar,"Soak - Novotel
                                    ",Lounge,"Novotel, Nagar Road",3.5,(41 Reviews),,,"American,Italian,North Indian,",, 2000,Rs. 2000,
https://www.zomato.com/pune/oakleaf-at-oakwood-residence-bund-garden,"Oakleaf at Oakwood Residence
                                    ",Casual Dining,Bund Garden Road,3.3,(34 Reviews),,,"North Indian,Continental,Asian,Italian,",, 2000,Rs. 2000,
